,Species1
2165,Phacellodomus sibilatrix
2166,Phacellodomus striaticeps
2167,Phacellodomus striaticollis
2168,Philydor atricapillus
2169,Philydor erythrocercum
2170,Philydor erythropterum
2171,Philydor fuscipenne
2172,Philydor pyrrhodes
2173,Philydor rufum
2174,Phleocryptes melanops
2175,Premnoplex brunnescens
2176,Premnoplex pariae
2177,Premnoplex tatei
2178,Premnornis guttuliger
2179,Pseudasthenes cactorum
2180,Pseudasthenes humicola
2181,Pseudasthenes patagonica
2182,Pseudasthenes steinbachi
2183,Pseudocolaptes boissonneauii
2184,Pseudocolaptes johnsoni
2185,Pseudocolaptes lawrencii
2186,Pseudoseisura cristata
2187,Pseudoseisura gutturalis
2188,Pseudoseisura lophotes
2189,Pseudoseisura unirufa
2190,Pygarrhichas albogularis
2191,Roraimia adusta
2192,Schoeniophylax phryganophilus
2193,Sclerurus albigularis
2194,Sclerurus caudacutus
2195,Sclerurus cearensis
2196,Sclerurus guatemalensis
2197,Sclerurus mexicanus
2198,Sclerurus rufigularis
2199,Sclerurus scansor
2200,Siptornis striaticollis
2201,Sittasomus griseicapillus
2202,Sittasomus griseus
2203,Spartonoica maluroides
2204,Sylviorthorhynchus desmurii
2205,Sylviorthorhynchus yanacensis
2206,Synallaxis albescens
2207,Synallaxis albigularis
2208,Synallaxis albilora
2209,Synallaxis azarae
2210,Synallaxis beverlyae
2211,Synallaxis brachyura
2212,Synallaxis cabanisi
2213,Synallaxis candei
2214,Synallaxis castanea
2215,Synallaxis cherriei
2216,Synallaxis chinchipensis
2217,Synallaxis cinerascens
2218,Synallaxis cinerea
2219,Synallaxis cinnamomea
2220,Synallaxis courseni
2221,Synallaxis erythrothorax
2222,Synallaxis frontalis
2223,Synallaxis fuscorufa
2224,Synallaxis gujanensis
2225,Synallaxis hellmayri
2226,Synallaxis hypochondriaca
2227,Synallaxis hypospodia
2228,Synallaxis infuscata
2229,Synallaxis kollari
2230,Synallaxis macconnelli
2231,Synallaxis maranonica
2232,Synallaxis moesta
2233,Synallaxis ruficapilla
2234,Synallaxis rutilans
2235,Synallaxis scutata
2236,Synallaxis simoni
2237,Synallaxis spixi
2238,Synallaxis stictothorax
2239,Synallaxis subpudica
2240,Synallaxis tithys
2241,Synallaxis unirufa
2242,Synallaxis zimmeri
2243,Syndactyla dimidiata
2244,Syndactyla guttulata
2245,Syndactyla roraimae
2246,Syndactyla ruficollis
2247,Syndactyla rufosuperciliata
2248,Syndactyla striata
2249,Syndactyla subalaris
2250,Syndactyla ucayalae
2251,Tarphonomus certhioides
2252,Tarphonomus harterti
2253,Thripadectes flammulatus
2254,Thripadectes holostictus
2255,Thripadectes ignobilis
2256,Thripadectes melanorhynchus
2257,Thripadectes rufobrunneus
2258,Thripadectes scrutator
2259,Thripadectes virgaticeps
2260,Thripophaga amacurensis
2261,Thripophaga cherriei
2262,Thripophaga fusciceps
2263,Thripophaga gutturata
2264,Thripophaga macroura
2265,Upucerthia albigula
2266,Upucerthia dumetaria
2267,Upucerthia saturatior
2268,Upucerthia validirostris
2269,Xenerpestes minlosi
2270,Xenerpestes singularis
2271,Xenops genibarbis
2272,Xenops minutus
2273,Xenops rutilus
2274,Xenops tenuirostris
2275,Xiphocolaptes albicollis
2276,Xiphocolaptes falcirostris
2277,Xiphocolaptes major
2278,Xiphocolaptes promeropirhynchus
2279,Xiphorhynchus aequatorialis
2280,Xiphorhynchus atlanticus
2281,Xiphorhynchus beauperthuysii
2282,Xiphorhynchus chunchotambo
2283,Xiphorhynchus elegans
2284,Xiphorhynchus erythropygius
2285,Xiphorhynchus flavigaster
2286,Xiphorhynchus fuscus
2287,Xiphorhynchus guttatoides
2288,Xiphorhynchus guttatus
2289,Xiphorhynchus lachrymosus
2290,Xiphorhynchus obsoletus
2291,Xiphorhynchus ocellatus
2292,Xiphorhynchus pardalotus
2293,Xiphorhynchus spixii
2294,Xiphorhynchus susurrans
2295,Xiphorhynchus triangularis
2296,Grallaria albigula
2297,Grallaria alleni
2298,Grallaria alticola
2299,Grallaria andicolus
2300,Grallaria atuensis
2301,Grallaria bangsi
2302,Grallaria blakei
2303,Grallaria capitalis
2304,Grallaria carrikeri
2305,Grallaria chthonia
2306,Grallaria dignissima
2307,Grallaria eludens
2308,Grallaria erythroleuca
2309,Grallaria erythrotis
2310,Grallaria excelsa
2311,Grallaria fenwickorum
2312,Grallaria flavotincta
2313,Grallaria gigantea
2314,Grallaria griseonucha
2315,Grallaria guatimalensis
2316,Grallaria haplonota
2317,Grallaria hypoleuca
2318,Grallaria kaestneri
2319,Grallaria milleri
2320,Grallaria nuchalis
2321,Grallaria przewalskii
2322,Grallaria quitensis
2323,Grallaria ridgelyi
2324,Grallaria ruficapilla
2325,Grallaria rufocinerea
2326,Grallaria rufula
2327,Grallaria saltuensis
2328,Grallaria squamigera
2329,Grallaria varia
2330,Grallaria watkinsi
2331,Grallaricula cucullata
2332,Grallaricula cumanensis
2333,Grallaricula ferrugineipectus
2334,Grallaricula flavirostris
2335,Grallaricula leymebambae
2336,Grallaricula lineifrons
2337,Grallaricula loricata
2338,Grallaricula nana
2339,Grallaricula ochraceifrons
2340,Grallaricula peruviana
2341,Hylopezus auricularis
2342,Hylopezus berlepschi
2343,Hylopezus dives
2344,Hylopezus fulviventris
2345,Hylopezus macularius
2346,Hylopezus nattereri
2347,Hylopezus ochroleucus
2348,Hylopezus perspicillatus
2349,Myrmothera campanisona
2350,Myrmothera simplex
2351,Alopochelidon fucata
2352,Atronanus fuliginosus
2353,Atticora fasciata
2354,Atticora pileata
2355,Atticora tibialis
2356,Cecropis abyssinica
2357,Cecropis cucullata
2358,Cecropis daurica
2359,Cecropis hyperythra
2360,Cecropis semirufa
2361,Cecropis senegalensis
2362,Cheramoeca leucosterna
2363,Delichon dasypus
2364,Delichon lagopodum
2365,Delichon nipalense
2366,Delichon urbicum
2367,Eurochelidon sirintarae
2368,Hirundo aethiopica
2369,Hirundo albigularis
2370,Hirundo angolensis
2371,Hirundo atrocaerulea
2372,Hirundo dimidiata
2373,Hirundo javanica
2374,Hirundo leucosoma
2375,Hirundo lucida
2376,Hirundo megaensis
2377,Hirundo neoxena
2378,Hirundo nigrita
2379,Hirundo nigrorufa
2380,Hirundo rustica
2381,Hirundo smithii
2382,Hirundo tahitica
2383,Neophedina cincta
2384,Orochelidon andecola
2385,Orochelidon flavipes
2386,Orochelidon murina
2387,Petrochelidon ariel
2388,Petrochelidon fluvicola
2389,Petrochelidon fulva
2390,Petrochelidon nigricans
2391,Petrochelidon perdita
2392,Petrochelidon preussi
2393,Petrochelidon pyrrhonota
2394,Petrochelidon rufigula
2395,Petrochelidon rufocollaris
2396,Petrochelidon spilodera
2397,Phedina borbonica
2398,Phedinopsis brazzae
2399,Progne chalybea
2400,Progne cryptoleuca
2401,Progne dominicensis
2402,Progne elegans
2403,Progne modesta
2404,Progne murphyi
2405,Progne sinaloae
2406,Progne subis
2407,Progne tapera
2408,Psalidoprocne albiceps
2409,Psalidoprocne fuliginosa
2410,Psalidoprocne nitens
2411,Psalidoprocne obscura
2412,Psalidoprocne pristoptera
2413,Pseudhirundo griseopyga
2414,Pseudochelidon eurystomina
2415,Ptyonoprogne concolor
2416,Ptyonoprogne fuligula
2417,Ptyonoprogne obsoleta
2418,Ptyonoprogne rufigula
2419,Ptyonoprogne rupestris
2420,Pygochelidon cyanoleuca
2421,Pygochelidon melanoleuca
2422,Riparia chinensis
2423,Riparia congica
2424,Riparia cowani
2425,Riparia diluta
2426,Riparia paludicola
2427,Riparia riparia
2428,Stelgidopteryx ridgwayi
2429,Stelgidopteryx ruficollis
2430,Stelgidopteryx serripennis
2431,Tachycineta albilinea
2432,Tachycineta albiventer
2433,Tachycineta bicolor
2434,Tachycineta cyaneoviridis
2435,Tachycineta euchrysea
2436,Tachycineta leucorrhoa
2437,Tachycineta meyeni
2438,Tachycineta stolzmanni
2439,Tachycineta thalassina
2440,Hyliota australis
2441,Hyliota flavigaster
2442,Hyliota usambara
2443,Hyliota violacea
2444,Hylocitrea bonensis
2445,Hylocitrea bonthaina
2446,Hypocolius ampelinus
2447,Agelaioides badius
2448,Agelaioides fringillarius
2449,Agelaius assimilis
2450,Agelaius humeralis
2451,Agelaius phoeniceus
2452,Agelaius tricolor
2453,Agelaius xanthomus
2454,Agelasticus cyanopus
2455,Agelasticus thilius
2456,Agelasticus xanthophthalmus
2457,Amblycercus holosericeus
2458,Amblyramphus holosericeus
2459,Anumara forbesi
2460,Cacicus cela
2461,Cacicus chrysonotus
2462,Cacicus chrysopterus
2463,Cacicus flavicrissus
2464,Cacicus haemorrhous
2465,Cacicus koepckeae
2466,Cacicus latirostris
2467,Cacicus leucoramphus
2468,Cacicus microrhynchus
2469,Cacicus oseryi
2470,Cacicus pacificus
2471,Cacicus sclateri
2472,Cacicus solitarius
2473,Cacicus uropygialis
2474,Cassiculus melanicterus
2475,Chrysomus icterocephalus
2476,Chrysomus ruficapillus
2477,Curaeus curaeus
2478,Dives dives
2479,Dives warczewiczi
2480,Dolichonyx oryzivorus
2481,Euphagus carolinus
2482,Euphagus cyanocephalus
2483,Gnorimopsar chopi
2484,Gymnomystax mexicanus
2485,Hypopyrrhus pyrohypogaster
2486,Icteria virens
2487,Icterus abeillei
2488,Icterus auratus
2489,Icterus auricapillus
2490,Icterus bonana
2491,Icterus bullockiorum
2492,Icterus cayanensis
2493,Icterus chrysater
2494,Icterus chrysocephalus
2495,Icterus croconotus
2496,Icterus cucullatus
2497,Icterus dominicensis
2498,Icterus fuertesi
2499,Icterus galbula
2500,Icterus graceannae
2501,Icterus graduacauda
2502,Icterus gularis
2503,Icterus icterus
2504,Icterus jamacaii
2505,Icterus laudabilis
2506,Icterus leucopteryx
2507,Icterus maculialatus
2508,Icterus melanopsis
2509,Icterus mesomelas
2510,Icterus nigrogularis
2511,Icterus northropi
2512,Icterus oberi
2513,Icterus parisorum
2514,Icterus pectoralis
2515,Icterus portoricensis
2516,Icterus prosthemelas
2517,Icterus pustulatus
2518,Icterus pyrrhopterus
2519,Icterus spurius
2520,Icterus wagleri
2521,Lampropsar tanagrinus
2522,Leistes bellicosus
2523,Leistes defilippii
2524,Leistes loyca
2525,Leistes militaris
2526,Leistes superciliaris
2527,Macroagelaius imthurni
2528,Macroagelaius subalaris
2529,Molothrus aeneus
2530,Molothrus armenti
2531,Molothrus ater
2532,Molothrus bonariensis
2533,Molothrus oryzivorus
2534,Molothrus rufoaxillaris
2535,Nesopsar nigerrimus
2536,Oreopsar bolivianus
2537,Psarocolius angustifrons
2538,Psarocolius atrovirens
2539,Psarocolius bifasciatus
2540,Psarocolius cassini
2541,Psarocolius decumanus
2542,Psarocolius guatimozinus
2543,Psarocolius montezuma
2544,Psarocolius oleagineus
2545,Psarocolius viridis
2546,Psarocolius wagleri
2547,Psarocolius yuracares
2548,Pseudoleistes guirahuro
2549,Pseudoleistes virescens
2550,Ptiloxena atroviolacea
2551,Quiscalus lugubris
2552,Quiscalus major
2553,Quiscalus mexicanus
2554,Quiscalus nicaraguensis
2555,Quiscalus niger
2556,Quiscalus quiscula
2557,Sturnella magna
2558,Sturnella neglecta
2559,Xanthocephalus xanthocephalus
2560,Xanthopsar flavus
2561,Ifrita kowaldi
2562,Irena cyanogastra
2563,Irena puella
2564,Irena tweeddalii
2565,Chaetorhynchus papuensis
2566,Eutrichomyias rowleyi
2567,Lamprolia klinesmithi
2568,Lamprolia victoriae
2569,Corvinella corvina
2570,Eurocephalus anguitimens
2571,Eurocephalus ruppelli
2572,Lanius borealis
2573,Lanius bucephalus
2574,Lanius cabanisi
2575,Lanius collaris
2576,Lanius collurio
2577,Lanius collurioides
2578,Lanius cristatus
2579,Lanius dorsalis
2580,Lanius excubitor
2581,Lanius excubitoroides
2582,Lanius giganteus
2583,Lanius gubernator
2584,Lanius isabellinus
2585,Lanius ludovicianus
2586,Lanius mackinnoni
2587,Lanius meridionalis
2588,Lanius minor
2589,Lanius newtoni
2590,Lanius nubicus
2591,Lanius phoenicuroides
2592,Lanius schach
2593,Lanius senator
2594,Lanius somalicus
2595,Lanius souzae
2596,Lanius sphenocercus
2597,Lanius tephronotus
2598,Lanius tigrinus
2599,Lanius validirostris
2600,Lanius vittatus
2601,Urolestes melanoleucus
2602,Acanthoptila nipalensis
2603,Actinodura egertoni
2604,Actinodura radcliffei
2605,Actinodura ramsayi
2606,Actinodura sodangorum
2607,Alcippe brunneicauda
2608,Alcippe grotei
2609,Alcippe morrisonia
2610,Alcippe nipalensis
2611,Alcippe peracensis
2612,Alcippe poioicephala
2613,Alcippe pyrrhoptera
2614,Argya altirostris
2615,Argya aylmeri
2616,Argya caudata
2617,Argya earlei
2618,Argya fulva
2619,Argya malcolmi
2620,Argya rubiginosa
2621,Argya squamiceps
2622,Argya subrufa
2623,Chatarrhaea gularis
2624,Chatarrhaea longirostris
2625,Chrysominla strigula
2626,Cutia legalleni
2627,Cutia nipalensis
2628,Garrulax albogularis
2629,Garrulax annamensis
2630,Garrulax berthemyi
2631,Garrulax bicolor
2632,Garrulax bieti
2633,Garrulax caerulatus
2634,Garrulax calvus
2635,Garrulax canorus
2636,Garrulax castanotis
2637,Garrulax chinensis
2638,Garrulax cineraceus
2639,Garrulax cinereiceps
2640,Garrulax cinereifrons
2641,Garrulax courtoisi
2642,Garrulax davidi
2643,Garrulax delesserti
2644,Garrulax ferrarius
2645,Garrulax galbanus
2646,Garrulax gularis
2647,Garrulax konkakinhensis
2648,Garrulax koslowi
2649,Garrulax lanceolatus
2650,Garrulax leucolophus
2651,Garrulax lugubris
2652,Garrulax lunulatus
2653,Garrulax maesi
2654,Garrulax maximus
2655,Garrulax merulinus
2656,Garrulax milleti
2657,Garrulax mitratus
2658,Garrulax monachus
2659,Garrulax monileger
2660,Garrulax nuchalis
2661,Garrulax ocellatus
2662,Garrulax palliatus
2663,Garrulax pectoralis
2664,Garrulax perspicillatus
2665,Garrulax poecilorhynchus
2666,Garrulax ruficeps
2667,Garrulax ruficollis
2668,Garrulax rufifrons
2669,Garrulax rufogularis
2670,Garrulax sannio
2671,Garrulax strepitans
2672,Garrulax sukatschewi
2673,Garrulax taewanus
2674,Garrulax treacheri
2675,Garrulax vassali
2676,Garrulax waddelli
2677,Garrulax woodi
2678,Grammatoptila striata
2679,Heterophasia auricularis
2680,Heterophasia capistrata
2681,Heterophasia desgodinsi
2682,Heterophasia gracilis
2683,Heterophasia melanoleuca
2684,Heterophasia picaoides
2685,Heterophasia pulchella
2686,Kupeornis chapini
2687,Kupeornis gilberti
2688,Kupeornis rufocinctus
2689,Laniellus albonotatus
2690,Laniellus langbianis
2691,Leioptila annectens
2692,Leiothrix argentauris
2693,Leiothrix laurinae
2694,Leiothrix lutea
2695,Liocichla bugunorum
2696,Liocichla omeiensis
2697,Liocichla phoenicea
2698,Liocichla ripponi
2699,Liocichla steerii
2700,Minla ignotincta
2701,Montecincla cachinnans
2702,Montecincla fairbanki
2703,Montecincla jerdoni
2704,Montecincla meridionalis
2705,Phyllanthus atripennis
2706,Phyllanthus bohndorffi
2707,Phyllanthus rubiginosus
2708,Sibia morrisoniana
2709,Sibia nipalensis
2710,Sibia souliei
2711,Sibia waldeni
2712,Siva cyanouroptera
2713,Trochalopteron affine
2714,Trochalopteron austeni
2715,Trochalopteron chrysopterum
2716,Trochalopteron elliotii
2717,Trochalopteron erythrocephalum
2718,Trochalopteron formosum
2719,Trochalopteron henrici
2720,Trochalopteron imbricatum
2721,Trochalopteron lineatum
2722,Trochalopteron melanostigma
2723,Trochalopteron milnei
2724,Trochalopteron morrisonianum
2725,Trochalopteron ngoclinhense
2726,Trochalopteron peninsulae
2727,Trochalopteron squamatum
2728,Trochalopteron subunicolor
2729,Trochalopteron variegatum
2730,Trochalopteron virgatum
2731,Trochalopteron yersini
2732,Turdoides affinis
2733,Turdoides bicolor
2734,Turdoides gymnogenys
2735,Turdoides hartlaubii
2736,Turdoides hindei
2737,Turdoides hypoleuca
2738,Turdoides jardineii
2739,Turdoides leucocephala
2740,Turdoides leucopygia
2741,Turdoides melanops
2742,Turdoides plebejus
2743,Turdoides reinwardtii
2744,Turdoides rufescens
2745,Turdoides sharpei
2746,Turdoides somervillei
2747,Turdoides squamulata
2748,Turdoides striata
2749,Turdoides tenebrosa
2750,Amphilais seebohmi
2751,Bradypterus alfredi
2752,Bradypterus baboecala
2753,Bradypterus bangwaensis
2754,Bradypterus barratti
2755,Bradypterus brunneus
2756,Bradypterus carpalis
2757,Bradypterus centralis
2758,Bradypterus cinnamomeus
2759,Bradypterus grandis
2760,Bradypterus graueri
2761,Bradypterus lopezi
2762,Bradypterus sylvaticus
2763,Buettikoferella bivittata
2764,Chaetornis striata
2765,Cincloramphus cruralis
2766,Cincloramphus macrurus
2767,Cincloramphus mathewsi
2768,Cincloramphus timoriensis
2769,Elaphrornis palliseri
2770,Locustella accentor
2771,Locustella alishanensis
2772,Locustella amnicola
2773,Locustella castanea
2774,Locustella caudata
2775,Locustella certhiola
2776,Locustella chengi
2777,Locustella davidi
2778,Locustella fasciolata
2779,Locustella fluviatilis
2780,Locustella kashmirensis
2781,Locustella lanceolata
2782,Locustella luscinioides
2783,Locustella luteoventris
2784,Locustella major
2785,Locustella mandelli
2786,Locustella montis
2787,Locustella naevia
2788,Locustella ochotensis
2789,Locustella pleskei
2790,Locustella portenta
2791,Locustella pryeri
2792,Locustella seebohmi
2793,Locustella tacsanowskia
2794,Locustella thoracica
2795,Malia grata
2796,Megalurulus grosvenori
2797,Megalurulus llaneae
2798,Megalurulus mariae
2799,Megalurulus rubiginosus
2800,Megalurulus rufus
2801,Megalurulus turipavae
2802,Megalurulus whitneyi
2803,Megalurus palustris
2804,Poodytes albolimbatus
2805,Poodytes carteri
2806,Poodytes caudatus
2807,Poodytes gramineus
2808,Poodytes punctatus
2809,Robsonius rabori
2810,Robsonius sorsogonensis
2811,Robsonius thompsoni
2812,Schoenicola brevirostris
2813,Schoenicola platyurus
2814,Machaerirhynchus flaviventer
2815,Machaerirhynchus nigripectus
2816,Achaetops pycnopygius
2817,Cryptillas victorini
2818,Graueria vittata
2819,Macrosphenus concolor
2820,Macrosphenus flavicans
2821,Macrosphenus kempi
2822,Macrosphenus kretschmeri
2823,Macrosphenus pulitzeri
2824,Melocichla mentalis
2825,Sphenoeacus afer
2826,Sylvietta brachyura
2827,Sylvietta chapini
2828,Sylvietta denti
2829,Sylvietta isabellina
2830,Sylvietta leucophrys
2831,Sylvietta leucopsis
2832,Sylvietta philippae
2833,Sylvietta rufescens
2834,Sylvietta ruficapilla
2835,Sylvietta virens
2836,Sylvietta whytii
2837,Bocagia minuta
2838,Chlorophoneus bocagei
2839,Chlorophoneus kupeensis
2840,Chlorophoneus multicolor
2841,Chlorophoneus nigrifrons
2842,Chlorophoneus olivaceus
2843,Chlorophoneus sulfureopectus
2844,Dryoscopus angolensis
2845,Dryoscopus cubla
2846,Dryoscopus gambensis
2847,Dryoscopus pringlii
2848,Dryoscopus sabini
2849,Dryoscopus senegalensis
2850,Laniarius aethiopicus
2851,Laniarius amboimensis
2852,Laniarius atrococcineus
2853,Laniarius atroflavus
2854,Laniarius barbarus
2855,Laniarius bicolor
2856,Laniarius brauni
2857,Laniarius erythrogaster
2858,Laniarius ferrugineus
2859,Laniarius fuelleborni
2860,Laniarius funebris
2861,Laniarius holomelas
2862,Laniarius leucorhynchus
2863,Laniarius luehderi
2864,Laniarius mufumbiri
2865,Laniarius nigerrimus
2866,Laniarius poensis
2867,Laniarius ruficeps
2868,Laniarius sublacteus
2869,Laniarius turatii
2870,Malaconotus alius
2871,Malaconotus blanchoti
2872,Malaconotus cruentus
2873,Malaconotus gladiator
2874,Malaconotus lagdeni
2875,Malaconotus monteiri
2876,Nilaus afer
2877,Rhodophoneus cruentus
2878,Tchagra australis
2879,Tchagra jamesi
2880,Tchagra senegalus
2881,Tchagra tchagra
2882,Telophorus dohertyi
2883,Telophorus viridis
2884,Telophorus zeylonus
2885,Amytornis ballarae
2886,Amytornis barbatus
2887,Amytornis dorotheae
2888,Amytornis goyderi
2889,Amytornis housei
2890,Amytornis merrotsyi
2891,Amytornis modestus
2892,Amytornis purnelli
2893,Amytornis striatus
2894,Amytornis textilis
2895,Amytornis woodwardi
2896,Chenorhamphus grayi
2897,Clytomyias insignis
2898,Malurus alboscapulatus
2899,Malurus amabilis
2900,Malurus assimilis
2901,Malurus coronatus
2902,Malurus cyaneus
2903,Malurus cyanocephalus
2904,Malurus elegans
2905,Malurus lamberti
2906,Malurus leucopterus
2907,Malurus melanocephalus
2908,Malurus pulcherrimus
2909,Malurus splendens
2910,Sipodotus wallacii
2911,Stipiturus malachurus
2912,Stipiturus mallee
2913,Stipiturus ruficeps
2914,Megalampitta gigantea
2915,Melampitta lugubris
2916,Melanocharis arfakiana
2917,Melanocharis longicauda
2918,Melanocharis nigra
2919,Melanocharis striativentris
2920,Melanocharis versteri
2921,Oedistoma iliolophus
2922,Oedistoma pygmaeum
2923,Rhamphocharis crassirostris
2924,Rhamphocharis piperata
2925,Toxorhamphus novaeguineae
2926,Toxorhamphus poliopterus
2927,Melanopareia elegans
2928,Melanopareia maranonica
2929,Melanopareia maximiliani
2930,Melanopareia torquata
2931,Acanthagenys rufogularis
2932,Acanthorhynchus superciliosus
2933,Acanthorhynchus tenuirostris
2934,Anthochaera carunculata
2935,Anthochaera chrysoptera
2936,Anthochaera lunulata
2937,Anthochaera paradoxa
2938,Anthochaera phrygia
2939,Anthornis melanura
2940,Ashbyia lovensis
2941,Bolemoreus frenatus
2942,Bolemoreus hindwoodi
2943,Caligavis chrysops
2944,Caligavis obscura
2945,Caligavis subfrenata
2946,Certhionyx variegatus
2947,Cissomela pectoralis
2948,Conopophila albogularis
2949,Conopophila rufogularis
2950,Conopophila whitei
2951,Entomyzon albipennis
2952,Entomyzon cyanotis
2953,Epthianura albifrons
2954,Epthianura aurifrons
2955,Epthianura crocea
2956,Epthianura tricolor
2957,Foulehaio carunculatus
2958,Foulehaio procerior
2959,Foulehaio taviunensis
2960,Gavicalis fasciogularis
2961,Gavicalis versicolor
2962,Gavicalis virescens
2963,Gliciphila melanops
2964,Gliciphila notabilis
2965,Gliciphila undulata
2966,Glycichaera fallax
2967,Grantiella picta
2968,Guadalcanaria inexpectata
2969,Gymnomyza aubryana
2970,Gymnomyza brunneirostris
2971,Gymnomyza samoensis
2972,Gymnomyza viridis
2973,Lichenostomus cratitius
2974,Lichenostomus melanops
2975,Lichmera alboauricularis
2976,Lichmera argentauris
2977,Lichmera deningeri
2978,Lichmera flavicans
2979,Lichmera incana
2980,Lichmera indistincta
2981,Lichmera lombokia
2982,Lichmera monticola
2983,Lichmera notabilis
2984,Lichmera squamata
2985,Macgregoria pulchra
2986,Manorina flavigula
2987,Manorina melanocephala
2988,Manorina melanophrys
2989,Manorina melanotis
2990,Meliarchus sclateri
2991,Melidectes belfordi
2992,Melidectes foersteri
2993,Melidectes fuscus
2994,Melidectes leucostephes
2995,Melidectes nouhuysi
2996,Melidectes ochromelas
2997,Melidectes princeps
2998,Melidectes rufocrissalis
2999,Melidectes torquatus
3000,Melilestes megarhynchus
3001,Meliphacator provocator
3002,Meliphaga aruensis
3003,Meliphaga lewinii
3004,Meliphaga notata
3005,Melipotes ater
3006,Melipotes carolae
3007,Melipotes fumigatus
3008,Melipotes gymnops
3009,Melithreptus affinis
3010,Melithreptus albogularis
3011,Melithreptus brevirostris
3012,Melithreptus chloropsis
3013,Melithreptus gularis
3014,Melithreptus laetior
3015,Melithreptus lunatus
3016,Melithreptus validirostris
3017,Melitograis gilolensis
3018,Microptilotis albilineatus
3019,Microptilotis albonotatus
3020,Microptilotis analogus
3021,Microptilotis cinereifrons
3022,Microptilotis flavirictus
3023,Microptilotis fordianus
3024,Microptilotis gracilis
3025,Microptilotis imitatrix
3026,Microptilotis mimikae
3027,Microptilotis montanus
3028,Microptilotis orientalis
3029,Microptilotis reticulatus
3030,Microptilotis vicina
3031,Myza celebensis
3032,Myza sarasinorum
3033,Myzomela adolphinae
3034,Myzomela albigula
3035,Myzomela batjanensis
3036,Myzomela blasii
3037,Myzomela boiei
3038,Myzomela caledonica
3039,Myzomela cardinalis
3040,Myzomela chermesina
3041,Myzomela chloroptera
3042,Myzomela cineracea
3043,Myzomela cruentata
3044,Myzomela dammermani
3045,Myzomela eichhorni
3046,Myzomela eques
3047,Myzomela erythrina
3048,Myzomela erythrocephala
3049,Myzomela erythromelas
3050,Myzomela irianawidodoae
3051,Myzomela jugularis
3052,Myzomela kuehni
3053,Myzomela lafargei
3054,Myzomela longirostris
3055,Myzomela malaitae
3056,Myzomela melanocephala
3057,Myzomela nigrita
3058,Myzomela obscura
3059,Myzomela pammelaena
3060,Myzomela prawiradilagae
3061,Myzomela pulchella
3062,Myzomela rosenbergii
3063,Myzomela rubratra
3064,Myzomela rubrobrunnea
3065,Myzomela rubrotincta
3066,Myzomela sanguinolenta
3067,Myzomela sclateri
3068,Myzomela simplex
3069,Myzomela tristrami
3070,Myzomela vulnerata
3071,Myzomela wahe
3072,Myzomela wakoloensis
3073,Nesoptilotis flavicollis
3074,Nesoptilotis leucotis
3075,Oreornis chrysogenys
3076,Philemon albitorques
3077,Philemon argenticeps
3078,Philemon brassi
3079,Philemon buceroides
3080,Philemon citreogularis
3081,Philemon cockerelli
3082,Philemon corniculatus
3083,Philemon diemenensis
3084,Philemon eichhorni
3085,Philemon fuscicapillus
3086,Philemon inornatus
3087,Philemon kisserensis
3088,Philemon meyeri
3089,Philemon moluccensis
3090,Philemon plumigenis
3091,Philemon subcorniculatus
3092,Phylidonyris niger
3093,Phylidonyris novaehollandiae
3094,Phylidonyris pyrrhopterus
3095,Plectorhyncha lanceolata
3096,Prosthemadera novaeseelandiae
3097,Ptiloprora erythropleura
3098,Ptiloprora guisei
3099,Ptiloprora mayri
3100,Ptiloprora meekiana
3101,Ptiloprora perstriata
3102,Ptiloprora plumbea
3103,Ptilotula flavescens
3104,Ptilotula fusca
3105,Ptilotula keartlandi
3106,Ptilotula ornata
3107,Ptilotula penicillata
3108,Ptilotula plumula
3109,Purnella albifrons
3110,Pycnopygius cinereus
3111,Pycnopygius ixoides
3112,Pycnopygius stictocephalus
3113,Ramsayornis fasciatus
3114,Ramsayornis modestus
3115,Stomiopera flava
3116,Stomiopera unicolor
3117,Stresemannia bougainvillei
3118,Sugomel nigrum
3119,Timeliopsis fulvigula
3120,Timeliopsis griseigula
3121,Trichodere cockerelli
3122,Vosea whitemanensis
3123,Xanthotis flaviventer
3124,Xanthotis macleayanus
3125,Xanthotis polygrammus
3126,Menura alberti
3127,Menura novaehollandiae
3128,Allenia fusca
3129,Cinclocerthia gutturalis
3130,Cinclocerthia ruficauda
3131,Dumetella carolinensis
3132,Margarops fuscatus
3133,Melanoptila glabrirostris
3134,Melanotis caerulescens
3135,Melanotis hypoleucus
3136,Mimus dorsalis
3137,Mimus gilvus
3138,Mimus graysoni
3139,Mimus gundlachii
3140,Mimus longicaudatus
3141,Mimus macdonaldi
3142,Mimus melanotis
3143,Mimus parvulus
3144,Mimus patagonicus
3145,Mimus polyglottos
3146,Mimus saturninus
3147,Mimus thenca
3148,Mimus trifasciatus
3149,Mimus triurus
3150,Oreoscoptes montanus
3151,Ramphocinclus brachyurus
3152,Toxostoma bendirei
3153,Toxostoma cinereum
3154,Toxostoma crissale
3155,Toxostoma curvirostre
3156,Toxostoma guttatum
3157,Toxostoma lecontei
3158,Toxostoma longirostre
3159,Toxostoma ocellatum
3160,Toxostoma redivivum
3161,Toxostoma rufum
3162,Lamprospiza melanoleuca
3163,Mitrospingus cassinii
3164,Mitrospingus oleagineus
3165,Orthogonys chloricterus
3166,Arcanator orostruthus
3167,Kakamega poliothorax
