SpeciesName,NumRef
Accipiter brachyurus,3
Accipiter butleri,3
Accipiter castanilius,5
Accipiter fasciatus,5
Accipiter madagascariensis,5
Accipiter melanochlamys,5
Accipiter ovampensis,5
Accipiter princeps,3
Accipiter rhodogaster,3
Accipiter soloensis,3
Aquila gurneyi,5
Aviceda cuculoides,5
Aviceda madagascariensis,4
Butastur rufipennis,5
Buteo albigula,5
Buteo auguralis,5
Buteo brachypterus,4
Buteo japonicus,3
Buteo oreophilus,3
Buteo refectus,5
Buteo socotraensis,5
Buteo trizonatus,5
Buteogallus gundlachii,4
Buteogallus lacernulatus,4
Buteogallus solitarius,5
Chondrohierax wilsonii,5
Circaetus beaudouini,4
Circaetus fasciolatus,4
Circaetus pectoralis,4
Circus assimilis,5
Circus macrourus,5
Circus melanoleucos,3
Circus ranivorus,5
Erythrotriorchis buergersi,3
Leptodon cayanensis,4
Leucopternis kuhli,5
Leucopternis semiplumbeus,5
Megatriorchis doriae,5
Nisaetus alboniger,3
Polyboroides radiatus,4
Spilornis holospilus,3
Spilornis klossi,3
Anorrhinus austeni,4
Anorrhinus galeritus,3
Berenicornis comatus,4
Buceros mindanensis,3
Bycanistes bucinator,3
Bycanistes cylindricus,4
Ceratogymna atrata,4
Horizocerus albocristatus,5
Horizocerus cassini,5
Horizocerus granti,4
Horizocerus hartlaubi,4
Lophoceros semifasciatus,4
Rhyticeros cassidix,4
Rhyticeros everetti,3
Rhyticeros subruficollis,3
Tockus leucomelas,4
Phoeniculus damarensis,4
Phoeniculus somaliensis,4
Upupa marginata,4
Urocolius indicus,4
Actenoides capucinus,3
Actenoides hombroni,4
Actenoides lindsayi,4
Actenoides princeps,5
Actenoides regalis,3
Ceyx argentatus,4
Ceyx cajeli,4
Ceyx collectoris,4
Ceyx cyanopectus,4
Ceyx dispar,4
Ceyx fallax,3
Ceyx flumenicola,4
Ceyx margarethae,5
Ceyx meeki,5
Ceyx mulcatus,4
Ceyx nigromaxilla,4
Ceyx sacerdotis,4
Ceyx solitarius,4
Ceyx wallacii,4
