SpeciesName,NumRef
Pheucticus tibialis,1
Certhia himalayana,1
Certhia nipalensis,1
Chloropsis cyanopogon,1
Chloropsis hardwickii,2
Chloropsis jerdoni,2
Chloropsis kinabaluensis,2
Chloropsis lazulina,2
Chloropsis media,1
Chloropsis moluccensis,2
Chloropsis palawanensis,1
Chloropsis sonnerati,1
Chloropsis venusta,2
Cinclosoma ajax,1
Cinclosoma punctatum,2
Ptilorrhoa castanonota,1
Ptilorrhoa geislerorum,1
Ptilorrhoa leucosticta,1
Apalis alticola,1
Apalis argentea,1
Apalis bamendae,1
Apalis binotata,1
Apalis chapini,2
Apalis chariessa,1
Apalis cinerea,2
Apalis flavida,2
Apalis flavigularis,1
Apalis flavocincta,2
Apalis fuscigularis,2
Apalis goslingi,2
Apalis jacksoni,1
Apalis kaboboensis,1
Apalis karamojae,1
Apalis lynesi,1
Apalis melanocephala,1
Apalis nigriceps,1
Apalis personata,1
Apalis porphyrolaema,1
Apalis ruddi,1
Apalis rufogularis,1
Apalis sharpii,2
Apalis thoracica,1
Bathmocercus cerviniventris,1
Bathmocercus rufus,1
Calamonastes fasciolatus,1
Calamonastes simplex,2
Calamonastes stierlingi,1
Calamonastes undosus,2
Cisticola aberrans,1
Cisticola angusticauda,1
Cisticola anonymus,1
Cisticola ayresii,2
Cisticola bodessa,1
Cisticola brachypterus,1
Cisticola brunnescens,2
Cisticola bulliens,2
Cisticola cantans,1
Cisticola carruthersi,1
Cisticola cinereolus,1
Cisticola dambo,1
Cisticola erythrops,1
Cisticola haesitatus,1
Cisticola nana,1
Cisticola natalensis,1
Cisticola nigriloris,1
Cisticola njombe,1
Cisticola pipiens,1
Cisticola restrictus,1
Cisticola robustus,1
Cisticola ruficeps,1
Cisticola rufilatus,1
Cisticola rufus,1
Cisticola subruficapilla,1
Cisticola textrix,1
Cisticola tinniens,1
Cisticola troglodytes,1
Cisticola woosnami,2
Drymocichla incana,1
Eminia lepida,1
Eremomela atricollis,1
Eremomela badiceps,1
Eremomela canescens,2
Eremomela flavicrissalis,1
Eremomela gregalis,1
Eremomela icteropygialis,2
Eremomela scotops,2
Eremomela usticollis,1
Euryptila subcinnamomea,2
Incana incana,2
Micromacronus sordidus,1
Neomixis striatigula,1
Neomixis tenella,1
Neomixis viridis,1
Orthotomus atrogularis,2
Orthotomus castaneiceps,1
Orthotomus chloronotus,1
Orthotomus derbianus,1
Orthotomus frontalis,1
Orthotomus nigriceps,1
Orthotomus ruficeps,1
Orthotomus sericeus,1
Phragmacia substriata,1
Poliolais lopezi,1
Prinia atrogularis,1
Prinia bairdii,1
Prinia cinereocapilla,2
Prinia familiaris,2
Prinia flaviventris,1
Prinia fluviatilis,1
Prinia hypoxantha,1
Prinia inornata,2
Prinia khasiana,1
Prinia somalica,1
Prinia superciliaris,1
Prinia sylvatica,2
Schistolais leontica,2
Urolais epichlorus,2
Cnemophilus loriae,2
Loboparadisea sericea,1
Conopophaga lineata,2
Conopophaga snethlageae,2
Aphelocoma ultramarina,1
Aphelocoma wollweberi,2
Corvus bennetti,2
Corvus capensis,1
Corvus dauuricus,1
Corvus edithae,1
Corvus florensis,2
Corvus leucognaphalus,2
Corvus meeki,2
Corvus mellori,1
Corvus nasicus,1
Corvus rhipidurus,1
Corvus ruficollis,2
Corvus sinaloae,1
Corvus tasmanicus,2
Corvus tristis,1
Corvus typicus,1
Corvus violaceus,2
Corvus woodfordi,1
Crypsirina cucullata,1
Crypsirina temia,1
Cyanocorax chrysops,1
Cyanocorax cyanomelas,2
Cyanocorax hafferi,2
Cyanocorax morio,2
Cyanocorax violaceus,1
Cyanolyca argentigula,2
Cyanolyca armillata,1
Cyanolyca mirabilis,2
Cyanolyca pumilo,1
Cyanolyca turcosa,1
Dendrocitta bayleii,1
Dendrocitta cinerascens,2
Dendrocitta frontalis,1
Dendrocitta occipitalis,1
Garrulus lanceolatus,2
Garrulus lidthi,2
Perisoreus internigrans,1
Podoces pleskei,1
Temnurus temnurus,2
Urocissa caerulea,1
Urocissa flavirostris,1
Urocissa whiteheadi,1
Ampelion rufaxilla,2
Carpodectes antoniae,2
Carpodectes nitidus,2
Carpornis cucullata,2
Cotinga cotinga,1
Cotinga ridgwayi,1
Doliornis remseni,2
Doliornis sclateri,2
Lipaugus lanioides,2
Lipaugus uropygialis,2
Lipaugus weberi,1
Phoenicircus nigricollis,1
Phytotoma raimondii,1
Phytotoma rara,1
Phytotoma rutila,1
Pipreola intermedia,2
Querula purpurata,2
Snowornis cryptolophus,2
Xipholena atropurpurea,2
Xipholena lamellipennis,1
Zaratornis stresemanni,2
Dasyornis brachypterus,1
Dicaeum annae,2
Dicaeum aureolimbatum,1
Dicaeum australe,1
Dicaeum celebicum,2
Dicaeum erythrothorax,1
Dicaeum everetti,1
Dicaeum eximium,1
Dicaeum geelvinkianum,1
Dicaeum hypoleucum,1
Dicaeum igniferum,1
Dicaeum maugei,1
Dicaeum melanozanthum,1
Dicaeum minullum,2
Dicaeum nehrkorni,1
Dicaeum nitidum,1
Dicaeum pygmaeum,1
Dicaeum sanguinolentum,1
Dicaeum schistaceiceps,1
Dicaeum trigonostigma,1
Dicaeum tristrami,1
Prionochilus olivaceus,1
Prionochilus percussus,1
Prionochilus plateni,1
Prionochilus thoracicus,1
Prionochilus xanthopygius,2
Dicrurus atripennis,1
Dicrurus bracteatus,1
Dicrurus fuscipennis,1
Dicrurus lophorinus,1
