SpeciesName,NumberRef
Nesospingus speculiferus,10
Oriolus isabellae,8
Oriolus monacha,7
Sphecotheres vieilloti,7
Sphecotheres viridis,6
Pachycephala caledonica,6
Pachycephala olivacea,6
Pachycephala rufiventris,6
Astrapia nigra,6
Astrapia rothschildi,6
Cicinnurus respublica,10
Epimachus meyeri,6
Lophorina magnifica,7
Lophorina superba,10
Lycocorax pyrrhopterus,9
Manucodia comrii,6
Paradisaea raggiana,6
Paradisornis rudolphi,8
Pteridophora alberti,9
Seleucidis melanoleucus,7
Semioptera wallacii,6
Pardalotus striatus,10
Cyanistes teneriffae,8
Melaniparus afer,7
Melaniparus funereus,7
Melaniparus pallidiventris,8
Melaniparus thruppi,9
Poecile carolinensis,7
Poecile rufescens,10
Sittiparus owstoni,6
Sittiparus semilarvatus,7
Geothlypis philadelphia,7
Geothlypis trichas,10
Leiothlypis celata,9
Leiothlypis ruficapilla,9
Limnothlypis swainsonii,7
Myioborus torquatus,7
Setophaga americana,9
Setophaga castanea,10
Setophaga dominica,10
Setophaga palmarum,8
Setophaga pensylvanica,10
Setophaga pitiayumi,7
Setophaga tigrina,7
Setophaga virens,7
Ammospiza maritima,6
Arremon atricapillus,6
Arremon taciturnus,9
Artemisiospiza belli,10
Calamospiza melanocorys,10
Chlorospingus flavopectus,8
Junco bairdi,10
Rhynchospiza strigiceps,6
Spizella passerina,8
Spizella pusilla,7
Montifringilla nivalis,8
Passer insularis,7
Passer luteus,10
Passer moabiticus,6
Passer motitensis,9
Petronia petronia,10
Laticilla burnesii,6
Leonardina woodi,6
Malacocincla perspicillata,7
Pellorneum ruficeps,9
Cryptomicroeca flaviventris,8
Devioeca papuana,7
Drymodes brunneopygia,8
Gennaeodryas placens,9
Heteromyias cinereifrons,8
Peneothello bimaculata,6
Peneothello cyanus,6
Peneothello sigillata,6
Petroica boodang,8
Petroica longipes,9
Petroica rosea,8
Plesiodryas albonotata,7
Poecilodryas superciliosa,8
Tregellasia capito,9
Phaenicophilus palmarum,9
Phaenicophilus poliocephalus,6
Phylloscopus affinis,8
Phylloscopus bonelli,9
Phylloscopus calciatilis,9
Phylloscopus canariensis,7
Phylloscopus castaniceps,6
Phylloscopus coronatus,7
Phylloscopus emeiensis,10
Phylloscopus humei,8
Phylloscopus ibericus,8
Phylloscopus intensior,7
Phylloscopus intermedius,9
Phylloscopus orientalis,7
Phylloscopus sibilatrix,8
Phylloscopus soror,7
Phylloscopus trochiloides,8
Corapipo gutturalis,7
Lepidothrix serena,7
Machaeropterus deliciosus,6
Machaeropterus striolatus,6
Neopelma chrysocephalum,6
Erythropitta kochi,6
Erythropitta venusta,9
Hydrornis oatesi,7
Pitta elegans,6
Pitta megarhyncha,9
Pitta novaeguineae,6
Pitta rosenbergii,6
Pitta sordida,7
Pityriasis gymnocephala,9
Batis capensis,10
Batis margaritae,6
Batis minima,6
Batis mixta,8
Batis senegalensis,8
Amblyospiza albifrons,6
Bubalornis niger,9
Dinemellia dinemelli,8
Euplectes albonotatus,7
Euplectes aureus,6
Euplectes capensis,9
Euplectes gierowii,10
Euplectes orix,6
Foudia madagascariensis,9
Foudia rubra,10
Plocepasser mahali,8
Ploceus baglafecht,8
Ploceus benghalensis,8
Ploceus brachypterus,7
Ploceus capensis,10
Ploceus megarhynchus,7
Ploceus nelicourvi,9
Ploceus nigricollis,6
Ploceus sakalava,7
Pseudonigrita cabanisi,9
Quelea cardinalis,8
Pnoepyga immaculata,9
Microbates cinereiventris,7
Polioptila caerulea,8
Polioptila guianensis,6
Ramphocaenus melanurus,8
Pomatostomus halli,7
Promerops gurneyi,10
Prunella collaris,10
Prunella rubeculoides,7
Psophodes cristatus,9
Psophodes nigrogularis,9
Phainopepla nitens,6
Prionodura newtoniana,10
Ptilonorhynchus violaceus,10
Scenopoeetes dentirostris,6
Sericulus aureus,6
Arizelocichla chlorigula,7
Arizelocichla milanjensis,6
Arizelocichla neumanni,6
Atimastillas flavicollis,6
Eurillas ansorgei,6
Eurillas virens,7
Hypsipetes amaurotis,8
Hypsipetes ganeesa,7
Hypsipetes olivaceus,6
Hypsipetes philippinus,8
Hypsipetes platenae,8
Hypsipetes siquijorensis,7
Ixos virescens,6
Phyllastrephus albigula,6
Phyllastrephus icterinus,7
Pycnonotus capensis,7
Pycnonotus leucotis,6
Pycnonotus luteolus,10
Pycnonotus sinensis,8
Rubigula melanictera,10
Stelgidillas gracilirostris,7
Thescelocichla leucopleura,6
Anthoscopus caroli,7
Anthoscopus minutus,9
Anthoscopus musculus,6
Anthoscopus parvulus,7
Anthoscopus sylviella,7
Eleoscytalopus psychopompus,6
Merulaxis ater,6
Merulaxis stresemanni,6
Pteroptochos castaneus,9
Scelorchilus rubecula,10
Scytalopus altirostris,6
Scytalopus alvarezlopezi,8
Scytalopus diamantinensis,6
Scytalopus frankeae,6
Scytalopus krabbei,6
Scytalopus magellanicus,7
Scytalopus opacus,7
Scytalopus parvirostris,6
Scytalopus petrophilus,9
Scytalopus robbinsi,8
Scytalopus simonsi,10
Scytalopus speluncae,10
Scytalopus urubambae,8
Scytalopus whitneyi,6
Rhipidura dryas,7
Rhipidura layardi,7
Cettia castaneocoronata,6
Hemitesia neumanni,8
Hemitesia pallidipes,10
Horornis canturians,6
Horornis diphone,6
Horornis flavolivaceus,8
Pholidornis rushiae,6
Sitta castanea,6
Sitta insularis,9
Sitta przewalskii,6
Aplonis tabuensis,8
Enodes erythrophris,6
Goodfellowia miranda,7
Gracula indica,8
Gracupica nigricollis,10
Lamprotornis bicolor,7
Onychognathus morio,10
Onychognathus tristramii,10
Poeoptera kenricki,9
Sarcops calvus,10
Spodiopsar sericeus,8
Sturnia malabarica,6
Sturnia sinensis,10
Sturnornis albofrontatus,8
Sturnus unicolor,8
Chamaea fasciata,9
Cholornis unicolor,6
Sinosuthora alphonsiana,8
Sylvia abyssinica,9
Sylvia atriceps,6
Sylvia cantillans,9
Sylvia crassirostris,6
Sylvia deserti,6
Sylvia dohrni,6
Sylvia nana,8
Sylvia nisoria,9
Sylvia ruppeli,6
Sylvia sarda,6
Akletos goeldii,10
Ammonastes pelzelni,9
Ampelornis griseiceps,7
Aprositornis disjuncta,8
Batara cinerea,7
Cercomacra carbonaria,6
Cercomacra ferdinandi,6
Cercomacra manu,7
Cercomacra melanaria,10
Cercomacra nigricans,10
Cercomacroides fuscicauda,10
Cercomacroides laeta,7
Cercomacroides parkeri,7
Cercomacroides serva,9
Cymbilaimus sanctaemariae,7
Drymophila caudata,10
Drymophila devillei,8
Drymophila ferruginea,9
Drymophila hellmayri,8
Drymophila klagesi,8
Drymophila malura,9
Drymophila rubricollis,7
Dysithamnus occidentalis,10
Dysithamnus plumbeus,8
Dysithamnus puncticeps,8
Dysithamnus striaticeps,7
Dysithamnus xanthopterus,6
Epinecrophylla gutturalis,8
Epinecrophylla leucophthalma,9
Epinecrophylla spodionota,10
Euchrepomis humeralis,7
Euchrepomis sharpei,7
Euchrepomis spodioptila,9
Formicivora iheringi,7
Formicivora melanogaster,7
Frederickena viridis,6
Hafferia fortis,10
Hafferia immaculata,9
Hafferia zeledoni,7
Herpsilochmus atricapillus,7
Herpsilochmus axillaris,6
Herpsilochmus dorsimaculatus,7
Herpsilochmus dugandi,9
Herpsilochmus longirostris,6
Herpsilochmus motacilloides,8
Herpsilochmus parkeri,9
Herpsilochmus pectoralis,6
Herpsilochmus pileatus,9
Herpsilochmus praedictus,7
Herpsilochmus stotzi,9
Hypocnemis flavescens,10
Hypocnemis ochrogyna,10
Hypocnemis striata,9
Hypocnemis subflava,9
Hypoedaleus guttatus,9
Isleria guttata,8
Mackenziaena leachii,7
Mackenziaena severa,7
Megastictus margaritatus,9
Myrmelastes brunneiceps,10
Myrmelastes caurensis,9
Myrmelastes rufifacies,8
Myrmelastes saturatus,10
Myrmoborus leucophrys,10
Myrmoborus lophotes,10
Myrmoborus lugubris,10
Myrmoborus melanurus,9
Myrmoderus ferrugineus,6
Myrmoderus squamosus,7
Myrmorchilus strigilatus,6
Myrmotherula ambigua,9
Myrmotherula assimilis,7
Myrmotherula behni,9
Myrmotherula brachyura,9
Myrmotherula cherriei,8
Myrmotherula grisea,8
Myrmotherula ignota,8
Myrmotherula iheringi,6
Myrmotherula longicauda,8
Myrmotherula longipennis,9
Myrmotherula luctuosa,10
Myrmotherula menetriesii,6
Myrmotherula pacifica,10
