"Species","Results"
"Pseudoseisura unirufa","0"
"Pygarrhichas albogularis","1"
"Roraimia adusta","0"
"Schoeniophylax phryganophilus","0"
"Sclerurus albigularis","0"
"Sclerurus caudacutus","0"
"Sclerurus cearensis","0"
"Sclerurus guatemalensis","0"
"Sclerurus mexicanus","0"
"Sclerurus rufigularis","1"
"Sclerurus scansor","0"
"Siptornis striaticollis","0"
"Sittasomus griseicapillus","0"
"Sittasomus griseus","0"
"Spartonoica maluroides","1"
"Sylviorthorhynchus desmurii","0"
"Sylviorthorhynchus yanacensis","0"
"Synallaxis albescens","0"
"Synallaxis albigularis","0"
"Synallaxis albilora","0"
"Synallaxis azarae","0"
"Synallaxis beverlyae","0"
"Synallaxis brachyura","0"
"Synallaxis cabanisi","0"
"Synallaxis candei","0"
"Synallaxis castanea","0"
"Synallaxis cherriei","0"
"Synallaxis chinchipensis","0"
"Synallaxis cinerascens","0"
"Synallaxis cinerea","0"
"Synallaxis cinnamomea","0"
"Synallaxis courseni","0"
"Synallaxis erythrothorax","0"
"Synallaxis frontalis","0"
"Synallaxis fuscorufa","0"
"Synallaxis gujanensis","0"
"Synallaxis hellmayri","0"
"Synallaxis hypochondriaca","0"
"Synallaxis hypospodia","0"
"Synallaxis infuscata","0"
"Synallaxis kollari","0"
"Synallaxis macconnelli","0"
"Synallaxis maranonica","0"
"Synallaxis moesta","0"
"Synallaxis ruficapilla","0"
"Synallaxis rutilans","0"
"Synallaxis scutata","0"
"Synallaxis simoni","0"
"Synallaxis spixi","0"
"Synallaxis stictothorax","0"
"Synallaxis subpudica","0"
"Synallaxis tithys","0"
"Synallaxis unirufa","0"
"Synallaxis zimmeri","0"
"Syndactyla dimidiata","0"
"Syndactyla guttulata","0"
"Syndactyla roraimae","0"
"Syndactyla ruficollis","0"
"Syndactyla rufosuperciliata","0"
"Syndactyla striata","0"
"Syndactyla subalaris","0"
"Syndactyla ucayalae","0"
"Tarphonomus certhioides","0"
"Tarphonomus harterti","0"
"Thripadectes flammulatus","0"
"Thripadectes holostictus","0"
"Thripadectes ignobilis","0"
"Thripadectes melanorhynchus","0"
"Thripadectes rufobrunneus","0"
"Thripadectes scrutator","0"
"Thripadectes virgaticeps","0"
"Thripophaga amacurensis","0"
"Thripophaga cherriei","0"
"Thripophaga fusciceps","0"
"Thripophaga gutturata","0"
"Thripophaga macroura","0"
"Upucerthia albigula","0"
"Upucerthia dumetaria","0"
"Upucerthia saturatior","0"
"Upucerthia validirostris","0"
"Xenerpestes minlosi","0"
"Xenerpestes singularis","0"
"Xenops genibarbis","0"
"Xenops minutus","0"
"Xenops rutilus","0"
"Xenops tenuirostris","0"
"Xiphocolaptes albicollis","1"
"Xiphocolaptes falcirostris","0"
"Xiphocolaptes major","1"
"Xiphocolaptes promeropirhynchus","0"
"Xiphorhynchus aequatorialis","0"
"Xiphorhynchus atlanticus","0"
"Xiphorhynchus beauperthuysii","0"
"Xiphorhynchus chunchotambo","0"
"Xiphorhynchus elegans","0"
"Xiphorhynchus erythropygius","0"
"Xiphorhynchus flavigaster","0"
"Xiphorhynchus fuscus","0"
"Xiphorhynchus guttatoides","0"
"Xiphorhynchus guttatus","0"
"Xiphorhynchus lachrymosus","0"
"Xiphorhynchus obsoletus","0"
"Xiphorhynchus ocellatus","0"
"Xiphorhynchus pardalotus","0"
"Xiphorhynchus spixii","0"
"Xiphorhynchus susurrans","0"
"Xiphorhynchus triangularis","0"
"Grallaria albigula","0"
"Grallaria alleni","0"
"Grallaria alticola","0"
"Grallaria andicolus","0"
"Grallaria atuensis","0"
"Grallaria bangsi","0"
"Grallaria blakei","0"
"Grallaria capitalis","0"
"Grallaria carrikeri","0"
"Grallaria chthonia","0"
"Grallaria dignissima","0"
"Grallaria eludens","0"
"Grallaria erythroleuca","0"
"Grallaria erythrotis","0"
"Grallaria excelsa","0"
"Grallaria fenwickorum","0"
"Grallaria flavotincta","0"
"Grallaria gigantea","0"
"Grallaria griseonucha","0"
"Grallaria guatimalensis","0"
"Grallaria haplonota","0"
"Grallaria hypoleuca","0"
"Grallaria kaestneri","0"
"Grallaria milleri","0"
"Grallaria nuchalis","0"
"Grallaria przewalskii","0"
"Grallaria quitensis","0"
"Grallaria ridgelyi","0"
"Grallaria ruficapilla","0"
"Grallaria rufocinerea","0"
"Grallaria rufula","0"
"Grallaria saltuensis","0"
"Grallaria squamigera","0"
"Grallaria varia","1"
"Grallaria watkinsi","0"
"Grallaricula cucullata","0"
"Grallaricula cumanensis","0"
"Grallaricula ferrugineipectus","0"
"Grallaricula flavirostris","0"
"Grallaricula leymebambae","0"
"Grallaricula lineifrons","0"
"Grallaricula loricata","0"
"Grallaricula nana","0"
"Grallaricula ochraceifrons","0"
"Grallaricula peruviana","0"
"Hylopezus auricularis","0"
"Hylopezus berlepschi","0"
"Hylopezus dives","0"
"Hylopezus fulviventris","0"
"Hylopezus macularius","0"
"Hylopezus nattereri","0"
"Hylopezus ochroleucus","0"
"Hylopezus perspicillatus","0"
"Myrmothera campanisona","0"
"Myrmothera simplex","0"
"Alopochelidon fucata","0"
"Atronanus fuliginosus","0"
"Atticora fasciata","0"
"Atticora pileata","0"
"Atticora tibialis","0"
"Cecropis abyssinica","0"
"Cecropis cucullata","0"
"Cecropis daurica","0"
"Cecropis hyperythra","0"
"Cecropis semirufa","0"
"Cecropis senegalensis","0"
"Cheramoeca leucosterna","0"
"Delichon dasypus","0"
"Delichon lagopodum","0"
"Delichon nipalense","0"
"Delichon urbicum","1"
"Eurochelidon sirintarae","0"
"Hirundo aethiopica","0"
"Hirundo albigularis","0"
"Hirundo angolensis","0"
"Hirundo atrocaerulea","0"
"Hirundo dimidiata","0"
"Hirundo javanica","0"
"Hirundo leucosoma","0"
"Hirundo lucida","0"
"Hirundo megaensis","0"
"Hirundo neoxena","0"
"Hirundo nigrita","0"
"Hirundo nigrorufa","0"
"Hirundo rustica","36"
"Hirundo smithii","0"
"Hirundo tahitica","1"
"Neophedina cincta","0"
"Orochelidon andecola","0"
"Orochelidon flavipes","0"
"Orochelidon murina","0"
"Petrochelidon ariel","0"
"Petrochelidon fluvicola","0"
"Petrochelidon fulva","1"
"Petrochelidon nigricans","0"
"Petrochelidon perdita","0"
"Petrochelidon preussi","0"
"Petrochelidon pyrrhonota","2"
"Petrochelidon rufigula","0"
"Petrochelidon rufocollaris","0"
"Petrochelidon spilodera","0"
"Phedina borbonica","0"
"Phedinopsis brazzae","0"
"Progne chalybea","0"
"Progne cryptoleuca","0"
"Progne dominicensis","1"
"Progne elegans","0"
"Progne modesta","0"
"Progne murphyi","0"
"Progne sinaloae","0"
"Progne subis","17"
"Progne tapera","0"
"Psalidoprocne albiceps","0"
"Psalidoprocne fuliginosa","0"
"Psalidoprocne nitens","0"
"Psalidoprocne obscura","0"
"Psalidoprocne pristoptera","0"
"Pseudhirundo griseopyga","0"
"Pseudochelidon eurystomina","0"
"Ptyonoprogne concolor","0"
"Ptyonoprogne fuligula","0"
"Ptyonoprogne obsoleta","0"
"Ptyonoprogne rufigula","0"
"Ptyonoprogne rupestris","3"
"Pygochelidon cyanoleuca","0"
"Pygochelidon melanoleuca","0"
"Riparia chinensis","0"
"Riparia congica","0"
"Riparia cowani","0"
"Riparia diluta","0"
"Riparia paludicola","0"
"Riparia riparia","30"
"Stelgidopteryx ridgwayi","0"
"Stelgidopteryx ruficollis","0"
"Stelgidopteryx serripennis","0"
"Tachycineta albilinea","0"
"Tachycineta albiventer","0"
"Tachycineta bicolor","11"
"Tachycineta cyaneoviridis","0"
"Tachycineta euchrysea","0"
"Tachycineta leucorrhoa","0"
"Tachycineta meyeni","0"
"Tachycineta stolzmanni","0"
"Tachycineta thalassina","1"
"Hyliota australis","0"
"Hyliota flavigaster","0"
"Hyliota usambara","0"
"Hyliota violacea","0"
"Hylocitrea bonensis","0"
"Hylocitrea bonthaina","0"
"Hypocolius ampelinus","0"
"Agelaioides badius","0"
"Agelaioides fringillarius","1"
"Agelaius assimilis","0"
"Agelaius humeralis","0"
"Agelaius phoeniceus","16"
"Agelaius tricolor","0"
"Agelaius xanthomus","0"
"Agelasticus cyanopus","0"
"Agelasticus thilius","0"
"Agelasticus xanthophthalmus","0"
"Amblycercus holosericeus","0"
"Amblyramphus holosericeus","0"
"Anumara forbesi","0"
"Cacicus cela","0"
"Cacicus chrysonotus","0"
"Cacicus chrysopterus","1"
"Cacicus flavicrissus","0"
"Cacicus haemorrhous","0"
"Cacicus koepckeae","0"
"Cacicus latirostris","0"
"Cacicus leucoramphus","0"
"Cacicus microrhynchus","0"
"Cacicus oseryi","0"
"Cacicus pacificus","0"
"Cacicus sclateri","0"
"Cacicus solitarius","0"
"Cacicus uropygialis","0"
"Cassiculus melanicterus","0"
"Chrysomus icterocephalus","0"
"Chrysomus ruficapillus","0"
"Curaeus curaeus","0"
"Dives dives","26"
"Dives warczewiczi","0"
"Dolichonyx oryzivorus","2"
"Euphagus carolinus","2"
"Euphagus cyanocephalus","0"
"Gnorimopsar chopi","1"
"Gymnomystax mexicanus","0"
"Hypopyrrhus pyrohypogaster","0"
"Icteria virens","0"
"Icterus abeillei","0"
"Icterus auratus","0"
"Icterus auricapillus","0"
"Icterus bonana","0"
"Icterus bullockiorum","0"
"Icterus cayanensis","0"
"Icterus chrysater","0"
"Icterus chrysocephalus","0"
"Icterus croconotus","0"
"Icterus cucullatus","0"
"Icterus dominicensis","0"
"Icterus fuertesi","0"
"Icterus galbula","0"
"Icterus graceannae","0"
"Icterus graduacauda","0"
"Icterus gularis","0"
"Icterus icterus","1"
"Icterus jamacaii","0"
"Icterus laudabilis","0"
"Icterus leucopteryx","0"
"Icterus maculialatus","0"
"Icterus melanopsis","0"
"Icterus mesomelas","0"
"Icterus nigrogularis","0"
"Icterus northropi","0"
"Icterus oberi","0"
"Icterus parisorum","0"
"Icterus pectoralis","0"
"Icterus portoricensis","0"
"Icterus prosthemelas","0"
"Icterus pustulatus","0"
"Icterus pyrrhopterus","0"
"Icterus spurius","0"
"Icterus wagleri","0"
"Lampropsar tanagrinus","0"
"Leistes bellicosus","0"
"Leistes defilippii","0"
"Leistes loyca","0"
"Leistes militaris","0"
"Leistes superciliaris","0"
"Macroagelaius imthurni","0"
"Macroagelaius subalaris","0"
"Molothrus aeneus","0"
"Molothrus armenti","0"
"Molothrus ater","12"
"Molothrus bonariensis","5"
"Molothrus oryzivorus","0"
"Molothrus rufoaxillaris","4"
"Nesopsar nigerrimus","0"
"Oreopsar bolivianus","0"
"Psarocolius angustifrons","0"
"Psarocolius atrovirens","0"
"Psarocolius bifasciatus","0"
"Psarocolius cassini","0"
"Psarocolius decumanus","0"
"Psarocolius guatimozinus","0"
"Psarocolius montezuma","0"
"Psarocolius oleagineus","0"
"Psarocolius viridis","0"
"Psarocolius wagleri","0"
"Psarocolius yuracares","0"
"Pseudoleistes guirahuro","0"
"Pseudoleistes virescens","1"
"Ptiloxena atroviolacea","0"
"Quiscalus lugubris","0"
"Quiscalus major","3"
"Quiscalus mexicanus","6"
"Quiscalus nicaraguensis","0"
"Quiscalus niger","0"
"Quiscalus quiscula","8"
"Sturnella magna","1"
"Sturnella neglecta","0"
"Xanthocephalus xanthocephalus","0"
"Xanthopsar flavus","0"
"Ifrita kowaldi","0"
"Irena cyanogastra","0"
"Irena puella","0"
"Irena tweeddalii","0"
"Chaetorhynchus papuensis","0"
"Eutrichomyias rowleyi","0"
"Lamprolia klinesmithi","0"
"Lamprolia victoriae","0"
"Corvinella corvina","0"
"Eurocephalus anguitimens","0"
"Eurocephalus ruppelli","0"
"Lanius borealis","0"
"Lanius bucephalus","1"
"Lanius cabanisi","0"
"Lanius collaris","0"
"Lanius collurio","2"
"Lanius collurioides","0"
"Lanius cristatus","2"
"Lanius dorsalis","0"
"Lanius excubitor","7"
"Lanius excubitoroides","0"
"Lanius giganteus","0"
"Lanius gubernator","0"
"Lanius isabellinus","0"
"Lanius ludovicianus","1"
"Lanius mackinnoni","0"
"Lanius meridionalis","0"
"Lanius minor","0"
"Lanius newtoni","0"
"Lanius nubicus","0"
"Lanius phoenicuroides","0"
"Lanius schach","0"
"Lanius senator","0"
"Lanius somalicus","0"
"Lanius souzae","0"
"Lanius sphenocercus","0"
"Lanius tephronotus","0"
"Lanius tigrinus","0"
"Lanius validirostris","0"
"Lanius vittatus","0"
"Urolestes melanoleucus","0"
"Acanthoptila nipalensis","0"
"Actinodura egertoni","0"
"Actinodura radcliffei","0"
"Actinodura ramsayi","0"
"Actinodura sodangorum","0"
"Alcippe brunneicauda","0"
"Alcippe grotei","0"
"Alcippe morrisonia","0"
"Alcippe nipalensis","0"
"Alcippe peracensis","0"
"Alcippe poioicephala","0"
"Alcippe pyrrhoptera","0"
"Argya altirostris","0"
"Argya aylmeri","0"
"Argya caudata","0"
"Argya earlei","0"
"Argya fulva","0"
"Argya malcolmi","0"
"Argya rubiginosa","0"
"Argya squamiceps","0"
"Argya subrufa","0"
"Chatarrhaea gularis","0"
"Chatarrhaea longirostris","0"
"Chrysominla strigula","0"
"Cutia legalleni","0"
"Cutia nipalensis","0"
"Garrulax albogularis","0"
"Garrulax annamensis","0"
"Garrulax berthemyi","0"
"Garrulax bicolor","0"
"Garrulax bieti","0"
"Garrulax caerulatus","0"
"Garrulax calvus","0"
"Garrulax canorus","0"
"Garrulax castanotis","0"
"Garrulax chinensis","0"
"Garrulax cineraceus","0"
"Garrulax cinereiceps","0"
"Garrulax cinereifrons","0"
"Garrulax courtoisi","1"
"Garrulax davidi","0"
"Garrulax delesserti","0"
"Garrulax ferrarius","0"
"Garrulax galbanus","0"
"Garrulax gularis","0"
"Garrulax konkakinhensis","0"
"Garrulax koslowi","0"
"Garrulax lanceolatus","0"
"Garrulax leucolophus","0"
"Garrulax lugubris","0"
"Garrulax lunulatus","0"
"Garrulax maesi","0"
"Garrulax maximus","0"
"Garrulax merulinus","0"
"Garrulax milleti","0"
"Garrulax mitratus","0"
"Garrulax monachus","0"
"Garrulax monileger","0"
"Garrulax nuchalis","0"
"Garrulax ocellatus","0"
"Garrulax palliatus","0"
"Garrulax pectoralis","0"
"Garrulax perspicillatus","0"
"Garrulax poecilorhynchus","0"
"Garrulax ruficeps","0"
"Garrulax ruficollis","0"
"Garrulax rufifrons","0"
"Garrulax rufogularis","0"
"Garrulax sannio","0"
"Garrulax strepitans","0"
"Garrulax sukatschewi","0"
"Garrulax taewanus","0"
"Garrulax treacheri","0"
"Garrulax vassali","0"
"Garrulax waddelli","0"
"Garrulax woodi","0"
"Grammatoptila striata","0"
"Heterophasia auricularis","0"
"Heterophasia capistrata","0"
"Heterophasia desgodinsi","0"
"Heterophasia gracilis","0"
"Heterophasia melanoleuca","0"
"Heterophasia picaoides","0"
"Heterophasia pulchella","0"
"Kupeornis chapini","0"
"Kupeornis gilberti","0"
"Kupeornis rufocinctus","0"
"Laniellus albonotatus","0"
"Laniellus langbianis","0"
"Leioptila annectens","0"
"Leiothrix argentauris","0"
"Leiothrix laurinae","0"
"Leiothrix lutea","0"
"Liocichla bugunorum","1"
"Liocichla omeiensis","0"
"Liocichla phoenicea","0"
"Liocichla ripponi","0"
"Liocichla steerii","0"
"Minla ignotincta","0"
"Montecincla cachinnans","0"
"Montecincla fairbanki","0"
"Montecincla jerdoni","0"
"Montecincla meridionalis","0"
"Phyllanthus atripennis","0"
"Phyllanthus bohndorffi","0"
"Phyllanthus rubiginosus","0"
"Sibia morrisoniana","0"
"Sibia nipalensis","0"
"Sibia souliei","0"
"Sibia waldeni","0"
"Siva cyanouroptera","0"
"Trochalopteron affine","0"
"Trochalopteron austeni","0"
"Trochalopteron chrysopterum","0"
"Trochalopteron elliotii","0"
"Trochalopteron erythrocephalum","0"
"Trochalopteron formosum","0"
"Trochalopteron henrici","0"
"Trochalopteron imbricatum","0"
"Trochalopteron lineatum","0"
"Trochalopteron melanostigma","0"
"Trochalopteron milnei","0"
"Trochalopteron morrisonianum","0"
"Trochalopteron ngoclinhense","0"
"Trochalopteron peninsulae","0"
"Trochalopteron squamatum","0"
"Trochalopteron subunicolor","0"
"Trochalopteron variegatum","0"
"Trochalopteron virgatum","0"
"Trochalopteron yersini","0"
"Turdoides affinis","0"
"Turdoides bicolor","2"
"Turdoides gymnogenys","0"
"Turdoides hartlaubii","0"
"Turdoides hindei","0"
"Turdoides hypoleuca","0"
"Turdoides jardineii","0"
"Turdoides leucocephala","0"
"Turdoides leucopygia","0"
"Turdoides melanops","0"
"Turdoides plebejus","0"
"Turdoides reinwardtii","0"
"Turdoides rufescens","0"
"Turdoides sharpei","0"
"Turdoides somervillei","0"
"Turdoides squamulata","0"
"Turdoides striata","1"
"Turdoides tenebrosa","0"
"Amphilais seebohmi","0"
"Bradypterus alfredi","0"
"Bradypterus baboecala","1"
"Bradypterus bangwaensis","0"
"Bradypterus barratti","0"
"Bradypterus brunneus","0"
"Bradypterus carpalis","1"
"Bradypterus centralis","0"
"Bradypterus cinnamomeus","0"
"Bradypterus grandis","0"
"Bradypterus graueri","0"
"Bradypterus lopezi","0"
"Bradypterus sylvaticus","0"
"Buettikoferella bivittata","0"
"Chaetornis striata","0"
"Cincloramphus cruralis","0"
"Cincloramphus macrurus","0"
"Cincloramphus mathewsi","0"
"Cincloramphus timoriensis","0"
"Elaphrornis palliseri","0"
"Locustella accentor","0"
"Locustella alishanensis","0"
"Locustella amnicola","0"
"Locustella castanea","0"
"Locustella caudata","0"
"Locustella certhiola","0"
"Locustella chengi","0"
"Locustella davidi","0"
"Locustella fasciolata","0"
"Locustella fluviatilis","0"
"Locustella kashmirensis","0"
"Locustella lanceolata","0"
"Locustella luscinioides","1"
"Locustella luteoventris","0"
"Locustella major","4"
"Locustella mandelli","0"
"Locustella montis","0"
"Locustella naevia","5"
"Locustella ochotensis","0"
"Locustella pleskei","0"
"Locustella portenta","0"
"Locustella pryeri","0"
"Locustella seebohmi","0"
"Locustella tacsanowskia","0"
"Locustella thoracica","0"
"Malia grata","0"
"Megalurulus grosvenori","0"
"Megalurulus llaneae","0"
"Megalurulus mariae","0"
"Megalurulus rubiginosus","0"
"Megalurulus rufus","0"
"Megalurulus turipavae","0"
"Megalurulus whitneyi","0"
"Megalurus palustris","0"
"Poodytes albolimbatus","0"
"Poodytes carteri","0"
"Poodytes caudatus","0"
"Poodytes gramineus","0"
"Poodytes punctatus","0"
"Robsonius rabori","0"
"Robsonius sorsogonensis","0"
"Robsonius thompsoni","0"
"Schoenicola brevirostris","0"
"Schoenicola platyurus","0"
"Machaerirhynchus flaviventer","0"
"Machaerirhynchus nigripectus","0"
"Achaetops pycnopygius","0"
"Cryptillas victorini","0"
"Graueria vittata","0"
"Macrosphenus concolor","0"
"Macrosphenus flavicans","0"
"Macrosphenus kempi","0"
"Macrosphenus kretschmeri","0"
"Macrosphenus pulitzeri","0"
"Melocichla mentalis","0"
"Sphenoeacus afer","0"
"Sylvietta brachyura","0"
"Sylvietta chapini","0"
"Sylvietta denti","0"
"Sylvietta isabellina","0"
"Sylvietta leucophrys","0"
"Sylvietta leucopsis","0"
"Sylvietta philippae","0"
"Sylvietta rufescens","0"
"Sylvietta ruficapilla","0"
"Sylvietta virens","0"
"Sylvietta whytii","0"
"Bocagia minuta","0"
"Chlorophoneus bocagei","0"
"Chlorophoneus kupeensis","0"
"Chlorophoneus multicolor","0"
"Chlorophoneus nigrifrons","0"
"Chlorophoneus olivaceus","0"
"Chlorophoneus sulfureopectus","0"
"Dryoscopus angolensis","0"
"Dryoscopus cubla","0"
"Dryoscopus gambensis","0"
"Dryoscopus pringlii","0"
"Dryoscopus sabini","0"
"Dryoscopus senegalensis","0"
"Laniarius aethiopicus","0"
"Laniarius amboimensis","0"
"Laniarius atrococcineus","0"
"Laniarius atroflavus","0"
"Laniarius barbarus","0"
"Laniarius bicolor","0"
"Laniarius brauni","0"
"Laniarius erythrogaster","0"
"Laniarius ferrugineus","0"
"Laniarius fuelleborni","0"
"Laniarius funebris","0"
"Laniarius holomelas","0"
"Laniarius leucorhynchus","0"
"Laniarius luehderi","0"
"Laniarius mufumbiri","1"
"Laniarius nigerrimus","0"
"Laniarius poensis","0"
"Laniarius ruficeps","0"
"Laniarius sublacteus","0"
"Laniarius turatii","0"
"Malaconotus alius","0"
"Malaconotus blanchoti","0"
"Malaconotus cruentus","0"
"Malaconotus gladiator","0"
"Malaconotus lagdeni","0"
"Malaconotus monteiri","0"
"Nilaus afer","0"
"Rhodophoneus cruentus","0"
"Tchagra australis","0"
"Tchagra jamesi","0"
"Tchagra senegalus","0"
"Tchagra tchagra","0"
"Telophorus dohertyi","0"
"Telophorus viridis","0"
"Telophorus zeylonus","0"
"Amytornis ballarae","0"
"Amytornis barbatus","0"
"Amytornis dorotheae","0"
"Amytornis goyderi","0"
"Amytornis housei","0"
"Amytornis merrotsyi","0"
"Amytornis modestus","0"
"Amytornis purnelli","0"
"Amytornis striatus","0"
"Amytornis textilis","0"
"Amytornis woodwardi","0"
"Chenorhamphus grayi","0"
"Clytomyias insignis","0"
"Malurus alboscapulatus","0"
"Malurus amabilis","0"
"Malurus assimilis","0"
"Malurus coronatus","2"
"Malurus cyaneus","1"
"Malurus cyanocephalus","0"
"Malurus elegans","0"
"Malurus lamberti","0"
"Malurus leucopterus","1"
"Malurus melanocephalus","0"
"Malurus pulcherrimus","0"
"Malurus splendens","2"
"Sipodotus wallacii","0"
"Stipiturus malachurus","0"
"Stipiturus mallee","0"
"Stipiturus ruficeps","0"
"Megalampitta gigantea","0"
"Melampitta lugubris","0"
"Melanocharis arfakiana","0"
"Melanocharis longicauda","0"
"Melanocharis nigra","0"
"Melanocharis striativentris","0"
"Melanocharis versteri","0"
"Oedistoma iliolophus","0"
"Oedistoma pygmaeum","0"
"Rhamphocharis crassirostris","0"
"Rhamphocharis piperata","0"
"Toxorhamphus novaeguineae","0"
"Toxorhamphus poliopterus","0"
"Melanopareia elegans","0"
"Melanopareia maranonica","0"
"Melanopareia maximiliani","0"
"Melanopareia torquata","0"
"Acanthagenys rufogularis","0"
"Acanthorhynchus superciliosus","0"
"Acanthorhynchus tenuirostris","0"
"Anthochaera carunculata","0"
"Anthochaera chrysoptera","1"
"Anthochaera lunulata","0"
"Anthochaera paradoxa","0"
"Anthochaera phrygia","0"
"Anthornis melanura","3"
"Ashbyia lovensis","0"
"Bolemoreus frenatus","0"
"Bolemoreus hindwoodi","0"
"Caligavis chrysops","0"
"Caligavis obscura","0"
"Caligavis subfrenata","0"
"Certhionyx variegatus","0"
"Cissomela pectoralis","0"
"Conopophila albogularis","0"
"Conopophila rufogularis","0"
"Conopophila whitei","0"
"Entomyzon albipennis","0"
"Entomyzon cyanotis","0"
"Epthianura albifrons","0"
"Epthianura aurifrons","0"
"Epthianura crocea","0"
"Epthianura tricolor","0"
"Foulehaio carunculatus","0"
"Foulehaio procerior","0"
"Foulehaio taviunensis","0"
"Gavicalis fasciogularis","0"
"Gavicalis versicolor","0"
"Gavicalis virescens","0"
"Gliciphila melanops","0"
"Gliciphila notabilis","0"
"Gliciphila undulata","0"
"Glycichaera fallax","0"
"Grantiella picta","0"
"Guadalcanaria inexpectata","0"
"Gymnomyza aubryana","0"
"Gymnomyza brunneirostris","0"
"Gymnomyza samoensis","0"
"Gymnomyza viridis","0"
"Lichenostomus cratitius","0"
"Lichenostomus melanops","0"
"Lichmera alboauricularis","0"
"Lichmera argentauris","0"
"Lichmera deningeri","0"
"Lichmera flavicans","0"
"Lichmera incana","0"
"Lichmera indistincta","0"
"Lichmera lombokia","0"
"Lichmera monticola","0"
"Lichmera notabilis","0"
"Lichmera squamata","0"
"Macgregoria pulchra","2"
"Manorina flavigula","0"
"Manorina melanocephala","11"
"Manorina melanophrys","2"
"Manorina melanotis","0"
"Meliarchus sclateri","0"
"Melidectes belfordi","0"
"Melidectes foersteri","0"
"Melidectes fuscus","0"
"Melidectes leucostephes","0"
"Melidectes nouhuysi","0"
"Melidectes ochromelas","0"
"Melidectes princeps","0"
"Melidectes rufocrissalis","0"
"Melidectes torquatus","0"
"Melilestes megarhynchus","0"
"Meliphacator provocator","0"
"Meliphaga aruensis","0"
"Meliphaga lewinii","0"
"Meliphaga notata","0"
"Melipotes ater","0"
"Melipotes carolae","0"
"Melipotes fumigatus","0"
"Melipotes gymnops","0"
"Melithreptus affinis","0"
"Melithreptus albogularis","0"
"Melithreptus brevirostris","0"
"Melithreptus chloropsis","0"
"Melithreptus gularis","0"
"Melithreptus laetior","0"
"Melithreptus lunatus","0"
"Melithreptus validirostris","0"
"Melitograis gilolensis","0"
"Microptilotis albilineatus","0"
"Microptilotis albonotatus","0"
"Microptilotis analogus","0"
"Microptilotis cinereifrons","0"
"Microptilotis flavirictus","0"
"Microptilotis fordianus","0"
"Microptilotis gracilis","0"
"Microptilotis imitatrix","0"
"Microptilotis mimikae","0"
"Microptilotis montanus","0"
"Microptilotis orientalis","0"
"Microptilotis reticulatus","0"
"Microptilotis vicina","0"
"Myza celebensis","0"
"Myza sarasinorum","0"
"Myzomela adolphinae","0"
"Myzomela albigula","0"
"Myzomela batjanensis","0"
"Myzomela blasii","0"
"Myzomela boiei","0"
"Myzomela caledonica","0"
"Myzomela cardinalis","0"
"Myzomela chermesina","0"
"Myzomela chloroptera","0"
"Myzomela cineracea","0"
"Myzomela cruentata","0"
"Myzomela dammermani","0"
"Myzomela eichhorni","0"
"Myzomela eques","0"
"Myzomela erythrina","0"
"Myzomela erythrocephala","0"
"Myzomela erythromelas","0"
"Myzomela irianawidodoae","0"
"Myzomela jugularis","0"
"Myzomela kuehni","0"
"Myzomela lafargei","0"
"Myzomela longirostris","0"
"Myzomela malaitae","0"
"Myzomela melanocephala","0"
"Myzomela nigrita","0"
"Myzomela obscura","0"
"Myzomela pammelaena","0"
"Myzomela prawiradilagae","0"
"Myzomela pulchella","0"
"Myzomela rosenbergii","0"
"Myzomela rubratra","0"
"Myzomela rubrobrunnea","0"
"Myzomela rubrotincta","0"
"Myzomela sanguinolenta","0"
"Myzomela sclateri","0"
"Myzomela simplex","0"
"Myzomela tristrami","0"
"Myzomela vulnerata","0"
"Myzomela wahe","0"
"Myzomela wakoloensis","0"
"Nesoptilotis flavicollis","0"
"Nesoptilotis leucotis","0"
"Oreornis chrysogenys","0"
"Philemon albitorques","0"
"Philemon argenticeps","0"
"Philemon brassi","0"
"Philemon buceroides","0"
"Philemon citreogularis","0"
"Philemon cockerelli","0"
"Philemon corniculatus","0"
"Philemon diemenensis","0"
"Philemon eichhorni","0"
"Philemon fuscicapillus","0"
"Philemon inornatus","0"
"Philemon kisserensis","0"
"Philemon meyeri","0"
"Philemon moluccensis","0"
"Philemon plumigenis","0"
"Philemon subcorniculatus","0"
"Phylidonyris niger","0"
"Phylidonyris novaehollandiae","0"
"Phylidonyris pyrrhopterus","0"
"Plectorhyncha lanceolata","0"
"Prosthemadera novaeseelandiae","2"
"Ptiloprora erythropleura","0"
"Ptiloprora guisei","0"
"Ptiloprora mayri","0"
"Ptiloprora meekiana","0"
"Ptiloprora perstriata","0"
"Ptiloprora plumbea","0"
"Ptilotula flavescens","0"
"Ptilotula fusca","0"
"Ptilotula keartlandi","0"
"Ptilotula ornata","0"
"Ptilotula penicillata","0"
"Ptilotula plumula","0"
"Purnella albifrons","0"
"Pycnopygius cinereus","0"
"Pycnopygius ixoides","0"
"Pycnopygius stictocephalus","0"
"Ramsayornis fasciatus","0"
"Ramsayornis modestus","0"
"Stomiopera flava","0"
"Stomiopera unicolor","0"
"Stresemannia bougainvillei","0"
"Sugomel nigrum","0"
"Timeliopsis fulvigula","0"
"Timeliopsis griseigula","0"
"Trichodere cockerelli","0"
"Vosea whitemanensis","0"
"Xanthotis flaviventer","0"
"Xanthotis macleayanus","0"
"Xanthotis polygrammus","0"
"Menura alberti","0"
