"Species","Results"
"Parabuteo unicinctus","0"
"Pernis apivorus","2"
"Pernis celebensis","0"
"Pernis ptilorhynchus","0"
"Pernis steerei","0"
"Pithecophaga jefferyi","0"
"Polemaetus bellicosus","1"
"Polyboroides radiatus","0"
"Polyboroides typus","0"
"Pseudastur albicollis","0"
"Pseudastur occidentalis","0"
"Pseudastur polionotus","0"
"Rostrhamus sociabilis","0"
"Rupornis magnirostris","0"
"Sarcogyps calvus","2"
"Spilornis cheela","0"
"Spilornis elgini","0"
"Spilornis holospilus","0"
"Spilornis kinabaluensis","0"
"Spilornis klossi","0"
"Spilornis rufipectus","0"
"Spizaetus isidori","0"
"Spizaetus melanoleucus","0"
"Spizaetus ornatus","1"
"Spizaetus tyrannus","0"
"Stephanoaetus coronatus","0"
"Terathopius ecaudatus","0"
"Torgos tracheliotos","1"
"Trigonoceps occipitalis","0"
"Urotriorchis macrourus","0"
"Pandion haliaetus","5"
"Sagittarius serpentarius","0"
"Aceros nipalensis","1"
"Anorrhinus austeni","0"
"Anorrhinus galeritus","0"
"Anorrhinus tickelli","0"
"Anthracoceros albirostris","1"
"Anthracoceros coronatus","0"
"Anthracoceros malayanus","0"
"Anthracoceros marchei","0"
"Anthracoceros montani","0"
"Berenicornis comatus","0"
"Buceros bicornis","2"
"Buceros hydrocorax","0"
"Buceros mindanensis","0"
"Buceros rhinoceros","0"
"Bucorvus abyssinicus","0"
"Bucorvus leadbeateri","4"
"Bycanistes albotibialis","0"
"Bycanistes brevis","0"
"Bycanistes bucinator","0"
"Bycanistes cylindricus","0"
"Bycanistes fistulator","0"
"Bycanistes sharpii","0"
"Bycanistes subcylindricus","0"
"Ceratogymna atrata","0"
"Ceratogymna elata","0"
"Horizocerus albocristatus","0"
"Horizocerus cassini","0"
"Horizocerus granti","0"
"Horizocerus hartlaubi","0"
"Lophoceros alboterminatus","0"
"Lophoceros bradfieldi","0"
"Lophoceros camurus","0"
"Lophoceros fasciatus","0"
"Lophoceros hemprichii","0"
"Lophoceros nasutus","0"
"Lophoceros pallidirostris","0"
"Lophoceros semifasciatus","0"
"Ocyceros birostris","1"
"Ocyceros gingalensis","0"
"Ocyceros griseus","0"
"Penelopides affinis","0"
"Penelopides manillae","0"
"Penelopides mindorensis","0"
"Penelopides panini","0"
"Rhabdotorrhinus corrugatus","0"
"Rhabdotorrhinus exarhatus","0"
"Rhabdotorrhinus leucocephalus","0"
"Rhabdotorrhinus waldeni","0"
"Rhinoplax vigil","0"
"Rhyticeros cassidix","0"
"Rhyticeros everetti","0"
"Rhyticeros narcondami","0"
"Rhyticeros plicatus","0"
"Rhyticeros subruficollis","0"
"Rhyticeros undulatus","3"
"Tockus damarensis","0"
"Tockus deckeni","0"
"Tockus erythrorhynchus","1"
"Tockus flavirostris","0"
"Tockus jacksoni","0"
"Tockus leucomelas","1"
"Tockus monteiri","0"
"Phoeniculus bollei","0"
"Phoeniculus damarensis","1"
"Phoeniculus purpureus","8"
"Phoeniculus somaliensis","0"
"Rhinopomastus aterrimus","0"
"Rhinopomastus castaneiceps","0"
"Rhinopomastus cyanomelas","1"
"Rhinopomastus minor","0"
"Upupa epops","3"
"Upupa marginata","0"
"Cariama cristata","0"
"Chunga burmeisteri","0"
"Cathartes aura","31"
"Cathartes burrovianus","0"
"Cathartes melambrotus","0"
"Coragyps atratus","32"
"Gymnogyps californianus","5"
"Sarcoramphus papa","0"
"Vultur gryphus","28"
"Colius castanotus","0"
"Colius colius","4"
"Colius leucocephalus","0"
"Colius striatus","3"
"Urocolius indicus","0"
"Urocolius macrourus","1"
"Actenoides bougainvillei","0"
"Actenoides capucinus","0"
"Actenoides concretus","0"
"Actenoides excelsus","0"
"Actenoides hombroni","0"
"Actenoides lindsayi","0"
"Actenoides monachus","0"
"Actenoides princeps","0"
"Actenoides regalis","0"
"Alcedo atthis","2"
"Alcedo coerulescens","0"
"Alcedo euryzona","0"
"Alcedo hercules","0"
"Alcedo meninting","0"
"Alcedo peninsulae","0"
"Alcedo quadribrachys","0"
"Alcedo semitorquata","0"
"Caridonax fulgidus","0"
"Ceryle rudis","1"
"Ceyx argentatus","0"
"Ceyx azureus","0"
"Ceyx cajeli","0"
"Ceyx collectoris","0"
"Ceyx cyanopectus","0"
"Ceyx dispar","0"
"Ceyx erithaca","0"
"Ceyx fallax","0"
